Date,Open,High,Low,Close,Adj Close,Volume,RSI,50_day_MA,200_day_MA,Dividends,Government Securities - 5-Year Bond Yield (Per Cent Per Annum),Government Securities - 2-Year Bond Yield (Per Cent Per Annum),Government Securities - 10-Year Bond Yield (Per Cent Per Annum),Government Securities - 1-Year Treasury Bills Yield (Per Cent Per Annum),Government Securities - 15-Year Bond Yield (Per Cent Per Annum),Government Securities - 20-Year Bond Yield (Per Cent Per Annum),Singapore Overnight Rate Average (Per Cent Per Annum)
2019-02-01,11.460000038146973,11.81999969482422,11.050000190734863,11.0600004196167,8.228032112121582,87021487,34.17936013464394,11.413600006103517,11.45155002593994,0.2,2.1,2.0,2.3,2.0,2.5,2.5,1.7
2019-03-01,11.050000190734863,11.289999961853027,10.880000114440918,11.050000190734863,8.220592498779297,110524822,34.12162341759763,11.323600025177004,11.276200022697449,0.2,1.9,1.9,2.1,2.1,2.3,2.4,2.2
2019-04-01,11.109999656677246,12.1899995803833,11.109999656677246,12.100000381469728,9.001737594604492,109161533,42.982456996475726,11.411600074768067,11.294350023269653,0.2,2.0,1.9,2.2,2.0,2.4,2.4,2.1
2019-05-01,12.100000381469728,12.149999618530272,10.56999969482422,10.56999969482422,7.863498210906982,131145915,36.16236344159784,11.40540002822876,11.263300018310549,0.23,1.9,1.9,2.1,2.1,2.3,2.4,1.9
2019-06-01,10.5600004196167,11.479999542236328,10.5,11.399999618530272,8.644754409790039,118727367,34.962403364295085,11.247400016784669,11.241350021362305,0.23,1.8,1.7,2.0,2.0,2.3,2.4,1.7
2019-07-01,11.460000038146973,11.81999969482422,11.220000267028809,11.539999961853027,8.7509183883667,100895797,42.71137091087845,11.23200002670288,11.287650027275085,0.23,1.8,1.7,1.9,1.8,2.1,2.2,1.9
2019-08-01,11.399999618530272,11.489999771118164,10.449999809265137,10.649999618530272,8.076018333435059,110985500,42.77371874576676,11.234799995422364,11.27900002002716,0.25,1.7,1.7,1.8,1.8,1.9,1.9,1.7
2019-09-01,10.649999618530272,11.140000343322754,10.579999923706056,10.859999656677246,8.425019264221191,95966244,44.92131641969143,11.001600017547608,11.24975001335144,0.25,1.7,1.7,1.7,1.8,1.9,1.9,1.7
2019-10-01,10.899999618530272,11.0,10.5600004196167,10.960000038146973,8.502595901489258,90133496,47.50733084520415,10.782999954223634,11.195250010490415,0.25,1.6,1.6,1.8,1.7,1.9,2.0,1.6
2019-11-01,10.949999809265137,11.1899995803833,10.720000267028809,10.779999732971191,8.362955093383789,93761900,45.18950725084156,10.891599941253665,11.144600009918213,0.25,1.6,1.5,1.7,1.7,1.9,2.0,1.6
